Corpus ID,Authors,Year,Title,DOI,Database,India_confidence,India_reason,NF_confidence,NF_reason,Social_confidence,Social_reason
33,"Dass A., Lenka N.K., Patnaik U.S., Sudhishri S.",2008,"Integrated nutrient management for production, economics, and soil improvement in winter vegetables",10.1080/19315260801934266,Scopus,high,"The study is an on-farm experimental evaluation conducted in Koraput, Orissa (India) and analyzes crop productivity, soil, and economics in that specific Indian region, making India the central focus.",high,"Evaluates integrated nutrient management that uses vermicompost, cow manure and microbial inoculants to reduce synthetic fertilizer use and improve soil health and yields in vegetable production, a sustainable/low-external-input approach.",high,"The paper includes on-farm economic analysis (net economic return/income effects) of nutrient management treatments, so it substantively addresses the livelihoods/income social dimension of farming."
61,"Duboc O., Zehetner F., Gerzabek M.H.",2011,Recent developments of no-till and organic farming in India: Is a combination of these approaches viable?,10.1080/10440046.2011.586569,Scopus,high,"The paper explicitly analyzes no-till, organic, and natural farming developments and experiences in India, focusing on Indian-specific challenges, practices, and literature, so India is the central context.",high,"The paper explicitly examines alternative/sustainable approaches—no-till, organic farming and natural/‘Rishi’ farming—in India, evaluating their viability, productivity and environmental benefits.",high,"The paper addresses socio-economic adoption barriers and livelihood constraints (competing residue uses, poorer farmers’ financial risks, need for multifunctionality and recycling) rather than only biophysical outcomes, indicating substantive social dimensions."
80,Brown T.,2013,Agrarian crisis in Punjab and 'natural farming' as a response,10.1080/00856401.2013.776002,Scopus,high,"The paper’s primary case and empirical focus is the Indian state of Punjab and an India-based organization (Kheti Virasat Mission), making India the central context of the study.",high,"Focuses on Kheti Virasat Mission’s promotion and implementation of chemical-free, locally based ‘natural farming’ as an alternative/sustainable response to Green Revolution practices in Punjab.",high,"Analyzes a civil-society initiative promoting natural farming in Punjab and explicitly examines class, social-group capacities, political dynamics and implementation barriers, i.e. substantive social dimensions (class, civil society, political opportunity)."
89,Whitney Sanford A.,2013,"Gandhi's agrarian legacy: Practicing food, justice, and sustainability in India",10.1558/jsrnc.v7i1.65,Scopus,high,"The paper centrally studies an intentional community in Paunar, Maharashtra and frames agricultural practices and Gandhian agrarian ideas within the Indian social, religious, and geographic context, making India the primary focus.",high,"Examines an intentional community in India enacting Gandhian principles into non-violent, self-sufficient food-production and alternative agricultural practices, i.e., sustainable/alternative farming.",high,"The paper examines how Gandhian social values and religiously-inflected traditions shape community food production, collective practices, and alternative agrarian social arrangements, addressing cultural, community, and value-driven social dimensions of farming."
153,Brown T.,2016,Civil society organizations for sustainable agriculture: negotiating power relations for pro-poor development in India,10.1080/21683565.2016.1139648,Scopus,high,"The paper analyzes three case studies of civil society organizations promoting sustainable agriculture in India and focuses on Indian agrarian contexts, actors, and the rural poor, making India the primary study setting and policy context.",high,The paper explicitly examines civil society organizations that promote sustainable farming systems in India and discusses implementation and power relations affecting pro‑poor sustainable agriculture initiatives.,high,"The paper analyzes how civil society organizations negotiate power relations among state, donors, elites and the rural poor, and how those choices affect pro-poor outcomes and social inequalities in sustainable agriculture."
159,MacRae G.,2016,"Himalayan Agricultures, Ecologies and Local Food Sovereignties",10.1080/00664677.2016.1192989,Scopus,high,The paper centrally discusses Indian national policy (2013 Food Security Ordinance) and uses the Himalayan foothills in India as the primary case/region for examining agriculture and local food sovereignty.,high,"The paper focuses on Himalayan traditional agriculture and local food sovereignty as a model for rural development and critiques corporatized/neoliberal agriculture, indicating attention to non‑conventional, sustainable/indigenous farming approaches.",high,"The paper analyzes social dimensions such as food policy and security, rural livelihoods and agrarian distress (including farmer suicides), outmigration, local community food sovereignty, and cultural/ecological practices in Himalayan farming communities."
160,"Münster D., Poerting J.",2016,"Land as resource, soil and landscape: Materiality, relationality and new agrarian questions in political ecology [Land als Ressource, Boden und Landschaft: Materialität, Relationalität und neue Agrarfragen in der Politischen ökologie]",10.5194/gh-71-245-2016,Scopus,high,"The paper explicitly draws on the authors' anthropological research in South India as a primary case study (alongside Pakistan) to develop its arguments, so India is a central study site for the analysis.",high,"The paper explicitly engages with agroecology and the ontological politics of agro-ecological movements in South India, framing agriculture through alternative, relational and sustainable perspectives rather than conventional industrial approaches.",high,"The paper explicitly engages political ecology and anthropological research addressing agrarian change, capitalist transformations, agroecological movements and human–land relations in South India, which are substantive social dimensions rather than purely biophysical analysis."
166,Ignacimuthu S.,2016,The Contributions of South Asian Jesuits to Environmental Work,10.1163/22141332-00304005,Scopus,medium,"The paper explicitly examines Jesuit environmental work in South Asia, focusing on activities in India (alongside Sri Lanka), so India is one of the primary study sites and a central part of the analysis rather than only a brief mention.",high,"The abstract explicitly mentions promotion of biopesticides and biofertilizers for organic farming, along with conservation, reforestation, and biodiversity projects — all alternative/sustainable farming or agroecological-related activities.",medium,"Although primarily descriptive of Jesuit environmental work, the paper discusses community-level activities (eco-clubs, local centres), political advocacy and promotion of organic farming which implicate social/community structures and political participation rather than purely agronomic outcomes."
180,"Vicziany M., Plahe J.",2017,Extending traditional food knowledge into new marketing institutions for small farmers in India,10.1080/00856401.2017.1342183,Scopus,high,"The study focuses on Indian smallholder marketing and supply chains, centering on SAPCO and producer cooperatives in Telangana, Andhra Pradesh and Maharashtra, making India the primary study context.",high,"The paper examines smallholder cooperatives producing and marketing organic food and reviving traditional knowledge for organic farming, i.e., a clear alternative/sustainable farming focus.",high,"The paper analyzes smallholders organizing into producer co-operatives and new marketing institutions (supply chains, role of external agencies) and assesses impacts on farmers’ livelihoods, institutional arrangements and traditional-knowledge revival, i.e. community/social and socio-economic dimensions."
210,Brown T.,2018,"Farmers, Subalterns, and Activists: Social Politics of Sustainable Agriculture in India",10.1017/9781108590112,Scopus,high,"The work explicitly analyzes sustainable agriculture through case studies of organisations operating in rural India, making India the primary study site and focus.",high,"The book explicitly examines chemical-free and sustainable agriculture movements and organisations in rural India, focusing on alternative farming practices and their social-political implications.",high,"The work explicitly examines social and political dimensions of sustainable agriculture—power relations, organisations' ties to elites, farmers' economic autonomy and movement dynamics—through case studies in rural India."
